study_id,week_start,confirmed,note
Ooms 2024 (Netherlands cruise ship),2022-03-14,1,hand-digitized from Fig1 by onset date; approximate
Ooms 2024 (Netherlands cruise ship),2022-03-21,5,hand-digitized from Fig1 by onset date; approximate
Ooms 2024 (Netherlands cruise ship),2022-03-28,8,hand-digitized from Fig1 by onset date; approximate
Ooms 2024 (Netherlands cruise ship),2022-04-04,14,peak week; source control (bottled water) began 06 Apr
Ooms 2024 (Netherlands cruise ship),2022-04-11,6,evacuation 15 Apr
Ooms 2024 (Netherlands cruise ship),2022-04-18,1,hand-digitized from Fig1 by onset date; approximate
Ooms 2024 (Netherlands cruise ship),2022-04-25,2,long tail (carrier/intermittent)
Ooms 2024 (Netherlands cruise ship),2022-05-02,2,long tail (carrier/intermittent)
Ooms 2024 (Netherlands cruise ship),2022-05-09,1,last onset ~11 May
