"scenario","coverage","seir_reduction","seir_flow_reduction","seir_averted","published_reduction","published_averted","renewal_reduction","renewal_averted","gap_points","seir_averted_common","renewal_averted_common"
"Scenario 1 (early)",0.7,81.9773757498335,82.0047060714442,6568.45138132116,82.0535493382216,7172.41649245748,76.0070694076475,6090.07955517348,5.99763666379661,7172.30074765395,6643.77793692247
"Scenario 1 (early)",0.5,72.737054199926,72.7622950829927,5828.06902224735,72.6210754854093,6347.91064752785,64.5105622756372,5168.91993691411,8.25173280735544,6347.80820817962,5638.86824851345
"Scenario 1 (early)",0.3,55.9785274212609,55.9990502254563,4485.28917157063,55.6726126168171,4866.42160066868,46.8884151905391,3756.94236012284,9.11063503491723,4866.34306883598,4098.51637180502
"Scenario 2 (late)",0.7,39.8615082530176,39.8811156639473,3193.91022890373,41.3907216270707,3618.02136320789,38.4791233018441,3083.14639609012,1.40199236210326,3617.96297742225,3363.46016781419
"Scenario 2 (late)",0.5,31.4027303660525,31.4188984115624,2516.1491907183,32.6454479290076,2853.58465316999,29.8162325680457,2389.03078082211,1.60266584351678,2853.53860347455,2606.23688877287
"Scenario 2 (late)",0.3,20.885039343994,20.8964172258486,1673.41738221332,21.7387989019933,1900.21907679067,19.4672121167065,1559.81373090871,1.42920510914213,1900.18841202324,1701.62901112132
"Scenario 3 (comb.)",0.7,64.1655193679713,64.1898950092426,5141.27331438267,65.6032674274237,5734.47414585357,58.2152767261183,4664.50909568719,5.97461828312431,5734.38160583111,5088.59733863
"Scenario 3 (comb.)",0.5,53.3141751114317,53.3353695418411,4271.80748287607,54.658221672172,4777.75225729656,46.8762722232347,3755.96940277169,6.45909731860643,4777.67515636455,4097.45495503295
"Scenario 3 (comb.)",0.3,37.7137074176614,37.7295744637511,3021.81731625854,38.7858594325422,3390.32668436342,31.9648703157089,2561.19075121035,5.7647041480422,3390.27197299851,2794.04931429611
